2025-11-24 10:15:35.207 INFO  [main @coroutine#1] jp.assasans.protanki.server.Main - Hello, 世界!
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Defense, id=347383, version=3)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Small Bridge Winter, id=375368, version=4)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Stuffs Winter, id=380083, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 2 Winter, id=397339, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Promotion Winter, id=404625, version=19)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Concrete Tiles, id=421539, version=2)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=City Builds, id=426360, version=2)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Plants, id=443222, version=3)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Industrial Elements Winter, id=444684, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fort Winter, id=463711, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Outer Walls, id=478937, version=4)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Outer Walls Lair, id=312444, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Roadblock, id=479176, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Rocks Winter, id=507274, version=2)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Hills, id=523067, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=yonje Winter, id=552422, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fachwerk House 2, id=575280, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Exterior, id=586915, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Trees, id=587350, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 14, id=590422, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Stuffs, id=593128, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Broken Walls Winter, id=595722, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Bush Winter, id=597073, version=4)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=City Buildings, id=609946, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Rise Winter, id=613332, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Broken Roof, id=617857, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 4 Winter, id=618528, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Grass Tiles, id=644412, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Hangars Winter, id=649198, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=City Buildings Winter, id=652693, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 10 Winter, id=652904, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 8 Winter, id=663090, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Broken Walls, id=663653, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 12, id=668013, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fence, id=668540, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Concrete Tiles Winter, id=675186, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Promotion, id=698047, version=19)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 8, id=728154, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=kahgel, id=736437, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Terrain, id=745712, version=4)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Slopes Rises, id=761948, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 1, id=762297, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Waffle Fence Winter, id=762902, version=6)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Village Builds, id=768697, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Slopes Rises Winter, id=795676, version=2)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 14 Winter, id=802209, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 9, id=837890, version=1)
2025-11-24 10:15:36.100 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 3, id=842988, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Rocks, id=849509, version=2)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 3 Winter, id=863808, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Desert Houses Winter, id=870768, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Tiles Winter, id=882130, version=2)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 9 Winter, id=886914, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Passage, id=890995, version=3)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Village Builds Winter, id=893062, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Concrete Walls, id=894006, version=2)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fachwerk House 1, id=922302, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Rise, id=928231, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Concrete Walls Winter, id=934285, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Small Bridge, id=947010, version=4)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 5, id=962184, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Outer Walls Winter, id=967254, version=4)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Outer Walls Lair Winter, id=785384, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Hills Winter, id=986284, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Bridge Parts, id=994853, version=2)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 12 Winter, id=997080, version=1)
2025-11-24 10:15:36.101 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NY, id=18539, version=3)
2025-11-24 10:15:36.107 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading map group 2042...
2025-11-24 10:15:36.228 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map summer-day.json -> map_2042@SummerDay (ID: 577907, preview: 323196)
2025-11-24 10:15:36.234 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map winter-day.json -> map_2042@Winter (ID: 423738, preview: 224985)
2025-11-24 10:15:36.234 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading map group abyss...
2025-11-24 10:15:36.238 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map summer-day.json -> map_abyss@SummerDay (ID: 972888, preview: 75453)
2025-11-24 10:15:36.241 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map winter-day.json -> map_abyss@Winter (ID: 983281, preview: 498200)
2025-11-24 10:15:36.241 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading map group aleksandrovsk...
2025-11-24 10:15:36.244 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map summer-day.json -> map_aleksandrovsk@SummerDay (ID: 803428, preview: 388954)
2025-11-24 10:15:36.246 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map summer-night.json -> map_aleksandrovsk@SummerNight (ID: 803428, preview: 639103)
2025-11-24 10:15:36.250 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map winter-day.json -> map_aleksandrovsk@Winter (ID: 769156, preview: 506884)
2025-11-24 10:15:36.250 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading map group arena...
2025-11-24 10:15:36.252 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map summer-day.json -> map_arena@SummerDay (ID: 207647, preview: 247963)
2025-11-24 10:15:36.254 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map winter-day.json -> map_arena@Winter (ID: 913780, preview: 764493)
2025-11-24 10:15:36.255 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading map group atra...
2025-11-24 10:15:36.257 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map summer-day.json -> map_atra@SummerDay (ID: 290034, preview: 433647)
2025-11-24 10:15:36.259 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded map winter-day.json -> map_atra@Winter (ID: 212325, preview: 729724)
